index,Loc,Dept #,SKU,Description,UPC,QOH,Mfg Part #,Retail,STATUS
0,14R08,10,10009,REMOVR RUST EXTEND 8 OZ,079340811386,0,1381192,8.99,zero
1,09R06,14,10017,MARINE SPAR VARNISH 32OZ,020066118952,1,207008,19.99,minimal
2,11R05,14,10033,SILICONE W&D BRZ9.8OZ,070798086470,0,08647-10.3,6.99,zero
3,01L03,10,10035,CLEANSER BON AMI 14 OZ,017500044038,11,04410,1.79,minimal
4,DISC,10,10038,"PRO SCRUB 10"" SPONGE MOP",074642401440,0,133940,13.99,zero
5,01L03,10,10046,CLEANSER BAR KEEPER 15OZ,071618115844,7,11584,2.79,minimal
6,11R05,14,10060,SILICONE II K&B WHT2.8OZ,077027002812,2,GE281,6.59,minimal
7,11R06,14,10063,SILICONE I K&B WHT10.1OZ,077027007121,6,GE712,6.99,minimal
8,111R0,14,10064,SILICONE I W&D CLR10.1OZ,077027000122,0,GE012,6.99,zero
9,11R05,14,10065,SILICONE I W&D WHT10.1OZ,077027001129,15,GE112,6.99,minimal
10,01L06,10,10085,SC JOHNSON PASTE WAX 1LB,046500002021,0,00203,9.59,zero
11,01L06,10,10088,WAX FLOOR PASTE 1#TREWAX,070755010166,6,887101016,9.99,minimal
12,11R05,14,10090,SILICONE II GLUECLR2.8OZ,077027002805,0,GE280,6.59,zero
13,01L06,10,10096,REMOVR WAX INSTANT 32OZ,070755450276,4,887045027,5.99,minimal
14,DISC,14,10105,TIBET ALMOND STICK,080073001227,0,122,4.99,zero
15,01L05,10,10106,SCRATCH COVER DK WD 8OZ,062338080468,3,6233875144,7.99,minimal
16,01L05,10,10107,OLDENGLISH LMN OIL 16OZ,062338073255,2,6233875143,7.99,minimal
17,03R02,14,10109,"PAINTBRSH FOAM 1"" JEN",082826000051,1,1,0.99,minimal
18,03R02,14,10111,"PAINTBRSH FOAM 2"" JEN",082826000068,2,2,1.39,minimal
19,03R02,14,10112,"PAINTBRSH FOAM 3"" JEN",082826000075,0,3,1.59,zero
20,01L05,10,10114,PLEDGE POLISH ORG 9.7OZ,046500723735,9,72373,6.59,minimal
21,03R01,14,10115,"PAINTBRSH FOAM 4"" JEN",082826000082,0,4,1.59,zero
22,01L05,10,10118,GUARDSMAN CREAM POLISH,041758046155,1,461500,8.99,minimal
23,01L06,10,10120,POLISH LMN 12.5OZ GRDSMN,041758046032,3,460300,7.99,minimal
24,01L05,10,10124,ENDUST GREEN APPLE 10OZ,886449507009,1,507040-1,4.99,minimal
25,01L01,10,10126,GEL-GLOSS POLISH 12OZ,072483010166,3,GA-12,8.99,minimal
26,RPAIR,14,10138,"ACRYLIC SHEET24X48X.100""",074507720174,0,1AG0975A,28.99,zero
27,01L04,10,10146,BRILLO SNO BOL CLNR 24OZ,070881322249,14,32224,4.59,minimal
28,06W1,14,10148,WAX BEESWAX .7OZ,084686910525,0,9105W7-6,4.59,zero
29,34L06,94,10149,CANDLE EMERGENCY BX4,076001374501,10,3745595,3.59,minimal
30,01L06,10,10150,OIL NEATSFOOT 1/2 PT,615713811005,0,81100,6.99,zero
31,01L06,10,10151,SOAP SADDLE 3 1/8OZ KIWI,031600109114,0,10906,6.99,zero
32,01L06,80,10153,POLISH SHOE 1-1/8OZ BRN,031600101132,0,10113,4.59,zero
33,01L06,80,10154,POLISH SHOE 1-1/8OZ BLK,031600101118,1,10111,4.59,minimal
34,03L06,14,10166,WD FLR LT BRN 8OZ,026000108485,11,E848D12,5.99,minimal
35,01L05,80,10167,PROTECTOR SCOTCHGARD 10O,021200002137,1,4106-10-12,9.59,minimal
36,01L01,10,10172,GLASS CLEANER ACE GAL,082901101727,3,10172G01-4A,9.59,minimal
37,03L06,14,10176,WD FLR LT BRN 16OZ,026000108492,1,E849D8,8.99,minimal
38,01L01,10,10183,AMMONIA 32 OZ ACE,082901101833,5,10183A,2.79,minimal
39,01L01,10,10184,AMMONIA GAL ACE,082901101840,5,10184A,5.99,minimal
40,03L05,14,10189,"ACE JOINT TAPE1-7/8""X36'",082901101895,4,462056,3.99,minimal
41,01L06,10,10190,K2-R SPOT LIFTER 5OZ,829548330017,4,33001,7.99,minimal
42,01L06,10,10196,POLISH METAL NOXON 12 OZ,062338001173,0,6233800118,6.59,zero
43,11R06,14,10202,CAULK PNTRS WHT10.1OZACE,082901102021,5,08714,2.39,minimal
44,11R06,14,10207,SEALR CNCRT GRY10.1OZACE,082901102076,0,08713,5.99,zero
45,01L06,10,10210,BISSELL UPH CLNR 12OZ,011120009354,0,9351,7.59,zero
46,UNKWN,14,10214,CAULK K&B WHT 10.1OZ ACE,082901102144,0,08710,6.59,zero
47,NEW,14,10218,LADDER STEP 6'ALUM 300#,051751010558,0,376,109.99,zero
48,NEW,14,10219,LADDER STEP 8'ALUM 300#,051751010572,0,378,159.99,zero
49,NEW,14,10220,LADDER STEP 10'ALUM 300#,051751010589,0,310,169.99,zero
50,NEW,14,10221,LADDR16'EXT ALUM200#WERN,051751011913,0,D1116-2,109.99,zero
51,01W01,14,10222,LADDR20'EXT ALUM200#WERN,051751011937,1,D1120-2,149.99,minimal
52,36LAD,14,10223,LADDR24'EXT ALUM200#WERN,051751011944,1,D1124-2,199.99,minimal
53,NEW,14,10224,LADDR28'EXT ALUM200#WERN,051751011951,0,D1128-2,239.99,zero
54,36LAD,14,10226,LADDR20'EXT ALUM225#WERN,051751012088,1,D1220-2,169.99,minimal
55,36LAD,14,10227,LADDR24'EXT ALUM225#WERN,051751012095,1,D1224-2,209.99,minimal
56,36LAD,14,10228,LADDR28'EXT ALUM225#WERN,051751012101,1,D1228-2,259.99,minimal
57,NEW,14,10229,LADDR32'EXT ALUM225#WERN,051751012118,0,D1232-2,309.99,zero
58,NEW,14,10230,EXTND LADDER 40' 225#,051751012132,0,D1240-2,459.99,zero
59,13R07,14,10238,GLUE SUPER ALL PURP 2GM,082901088646,0,29045AC,1.49,zero
60,UNKWN,14,10252,CAULKSTR TUB1-5/8X11'WHT,071773000405,0,34040,7.99,zero
61,11L08,14,10255,"CORNRSAVR3/4""X4'STICK ON",077746121412,16,CS2141A,4.59,minimal
62,11L08,14,10257,"CORNRSAVR3/4""X4' NAIL ON",077746221419,5,CS2141S,3.99,minimal
63,01L03,10,10264,LIME-RUST REMOVR28OZ CLR,078291310825,0,CL-12,6.59,zero
64,01L06,10,10265,POLISH METAL TARN-X 12OZ,078291169119,5,TX-6,8.59,minimal
65,UNKWN,10,10273,CLEANR TSP90 1# RED DVL,075339002612,0,0261,4.99,zero
66,05R05,10,10274,CLEANR TSP90 4# RED DVL,075339002650,0,0265,12.99,zero
67,DISC,10,10278,CLEANR BATHROOM 16OZ DOW,025700395140,0,39514,3.49,zero
68,01L03,10,10284,CLEANSER ZUD 6 OZ,075929007102,4,540906,2.59,minimal
69,01L02,10,10310,CLEANR OVEN EZOFF14.5OZ,062338879796,3,6233887979,6.99,minimal
70,01L03,10,10317,REMOVR RUST 6OZ WHINK,702756,0,1261,3.99,zero
71,UNKWN,10,10318,CLEANR DIP-IT 5 OZ,027443372006,0,2744337100,3.99,zero
72,CLOSE,14,10322,PAINT WATRPRF GL WHT OIL,079941207137,3,20713,28.99,minimal
73,01L06,10,10328,SILVER CREAM 8OZ WRIGHTS,011121000145,0,014,6.59,zero
74,01L06,10,10333,SILVERSMITH POLISH 8OZ,011130100805,8,10080,9.99,minimal
75,05R08,14,10336,PRIMER BIN WHITE 13OZ,047719010081,5,1008,9.99,minimal
76,01L06,10,10339,POLISH METAL BRASSO 8 OZ,026600893347,7,2660089334,3.99,minimal
77,01L07,10,10373,"BRUSH PERCOLATOR 11-1/2""",041301046717,0,G183-12,2.79,zero
78,DISC,10,10384,"BRUSH SCRB SQ PALM 8""",041301000535,1,G230-12,4.99,minimal
79,01L07,10,10385,BRUSH SCRB SQ POLY 7-1/4,041301000474,0,G231-12,4.99,zero
80,01W08,10,10389,"DECK BRUSH 10""",025881087605,2,08760,8.99,minimal
81,01W07,10,10397,"BROOM CORN WISK 8""",852026003318,1,205-WB,6.59,minimal
82,01L06,10,10400,JEWEL CLEAN 7OZ HAGERTY,011130160076,0,16007,7.99,zero
83,01W06,10,10401,"BRUSH DUSTER TAMPCO 8""",041301034066,0,X141-06,7.99,zero
84,01W07,10,10402,"BRUSH DUSTER PLASTIC8""",041301002263,1,FGX14006,5.99,minimal
85,UNKWN,10,10403,"DUSTER FEATHR TURKEY 14""",071626300980,0,300-98,2.79,zero
